close,ema,high,low,open,position,day,dateni,time_slot,hi_lo_diff
19354.7,19382.02860265033,19390.65,19353.9,19390.15,31,1,2023-11-07,10,36.75
19336.95,19377.73540239792,19355.55,19334.7,19353.7,32,1,2023-11-07,10,20.849999999998545
19330.95,19373.2796497886,19346.9,19330.75,19336.65,33,1,2023-11-07,10,16.150000000001455
19344.9,19370.576825999204,19346.1,19329.75,19332.55,34,1,2023-11-07,10,16.349999999998545
19339.9,19367.65522352309,19345.95,19335.05,19345.95,35,1,2023-11-07,10,10.900000000001455
19350.45,19366.016630806607,19352.1,19338.85,19340.2,36,1,2023-11-07,10,13.25
19352.45,19364.724570729788,19353.65,19343.95,19350.7,37,1,2023-11-07,10,9.700000000000728
19359.15,19364.193659231714,19359.25,19349.8,19352.65,38,1,2023-11-07,10,9.450000000000728
19355.55,19363.3704535906,19362.9,19350.4,19359.65,39,1,2023-11-07,10,12.5
19353.4,19362.42088658197,19357.35,19350.35,19356.3,40,1,2023-11-07,10,7.0
19365.15,19362.68080214559,19365.2,19348.5,19353.95,41,1,2023-11-07,10,16.700000000000728
19365.7,19362.96834479839,19368.6,19362.0,19365.6,42,1,2023-11-07,10,6.599999999998545
19363.45,19363.01421672236,19368.0,19361.55,19366.1,43,1,2023-11-07,10,6.450000000000728
19371.85,19363.855719891657,19373.0,19361.25,19363.75,44,1,2023-11-07,10,11.75
19364.45,19363.91231799721,19371.4,19362.35,19370.25,45,1,2023-11-07,10,9.05000000000291
19366.85,19364.192097235573,19369.6,19359.8,19364.5,46,1,2023-11-07,10,9.799999999999272
19370.0,19364.745230832184,19372.5,19364.95,19366.25,47,1,2023-11-07,10,7.549999999999272
19367.5,19365.00758980055,19371.7,19365.75,19369.8,48,1,2023-11-07,10,5.950000000000728
19366.8,19365.17829553383,19369.1,19359.4,19367.15,49,1,2023-11-07,10,9.69999999999709
19362.15,19364.88988643537,19367.8,19360.3,19367.4,50,1,2023-11-07,10,7.5
19361.15,19364.533706774862,19362.5,19353.65,19362.5,51,1,2023-11-07,10,8.849999999998545
19355.35,19363.6590680344,19365.9,19354.85,19361.35,52,1,2023-11-07,10,11.05000000000291
19370.85,19364.34391869779,19371.85,19353.45,19355.25,53,1,2023-11-07,10,18.399999999997817
19368.9,19364.77783120276,19375.8,19365.4,19370.35,54,1,2023-11-07,10,10.399999999997817
19372.95,19365.556132992973,19376.35,19368.05,19369.6,55,1,2023-11-07,10,8.299999999999272
19373.55,19366.317453660307,19377.35,19366.35,19373.25,56,1,2023-11-07,30,11.0
19395.4,19369.087219978373,19395.75,19372.95,19375.45,57,1,2023-11-07,30,22.799999999999272
19393.8,19371.44081807568,19402.95,19392.15,19394.5,58,1,2023-11-07,30,10.799999999999272
19405.25,19374.6607401637,19407.35,19392.1,19393.85,59,1,2023-11-07,30,15.25
19397.75,19376.85971729097,19410.1,19397.45,19405.95,60,1,2023-11-07,30,12.649999999997817
19401.15,19379.17307754897,19404.55,19393.7,19397.85,61,1,2023-11-07,30,10.849999999998545
19400.55,19381.20897492526,19405.5,19396.15,19400.9,62,1,2023-11-07,30,9.349999999998545
19390.0,19382.04621540857,19406.9,19389.8,19399.55,63,1,2023-11-07,40,17.100000000002183
19388.45,19382.65609965537,19393.95,19384.15,19389.6,64,1,2023-11-07,25,9.799999999999272
19388.65,19383.22694730724,19398.35,19387.15,19388.45,65,1,2023-11-07,25,11.19999999999709
19381.3,19383.04342851608,19393.45,19380.15,19389.15,66,1,2023-11-07,25,13.299999999999272
19382.95,19383.034530562163,19389.05,19379.15,19381.9,67,1,2023-11-07,25,9.899999999997817
19390.7,19383.76457527053,19392.4,19380.75,19383.85,68,1,2023-11-07,25,11.650000000001455
19395.6,19384.8917585781,19400.65,19389.05,19391.05,69,1,2023-11-07,25,11.600000000002183
19399.05,19386.24016252304,19403.3,19395.1,19396.35,70,1,2023-11-07,50,8.200000000000728
19405.0,19388.026813711323,19409.95,19398.15,19400.05,71,1,2023-11-07,25,11.799999999999272
19397.85,19388.96235526263,19411.3,19395.85,19405.3,72,1,2023-11-07,25,15.450000000000728
19398.05,19389.82784523761,19400.85,19393.75,19398.75,73,1,2023-11-07,25,7.099999999998545
19411.5,19391.89185997689,19411.85,19395.2,19398.15,74,1,2023-11-07,15,16.649999999997817
19417.75,19394.354539979096,19419.65,19410.25,19411.3,75,1,2023-11-07,15,9.400000000001455
19449.6,19406.15745488788,19449.6,19449.6,19449.6,1,2,2023-11-08,25,0.0
19414.7,19406.971030612844,19453.6,19410.65,19449.6,2,2,2023-11-08,25,42.94999999999709
19421.65,19408.369027697336,19425.6,19403.85,19414.7,3,2,2023-11-08,25,21.75
19434.6,19410.867215535687,19436.5,19418.8,19422.7,4,2,2023-11-08,25,17.700000000000728
19417.6,19411.50843310372,19440.4,19416.5,19434.25,5,2,2023-11-08,25,23.900000000001455
19418.45,19412.169534712884,19424.35,19412.3,19419.6,6,2,2023-11-08,25,12.049999999999272
19425.35,19413.42481712118,19428.55,19417.45,19418.9,7,2,2023-11-08,25,11.099999999998545
19420.85,19414.13197739535,19431.4,19419.35,19425.95,8,2,2023-11-08,25,12.05000000000291
19429.55,19415.60036050056,19430.05,19420.25,19421.5,9,2,2023-11-08,25,9.799999999999272
19444.0,19418.30508807193,19449.35,19428.3,19428.3,10,2,2023-11-08,25,21.049999999999272
19450.05,19421.32841301745,19451.45,19442.9,19443.9,11,2,2023-11-08,25,8.549999999999272
19429.8,19422.13523082532,19453.25,19429.6,19450.3,12,2,2023-11-08,25,23.650000000001455
19427.2,19422.617589794336,19437.2,19427.2,19430.1,13,2,2023-11-08,25,10.0
19433.85,19423.687343147256,19437.15,19427.55,19427.85,14,2,2023-11-08,25,9.600000000002183
19445.25,19425.740929514184,19446.35,19432.75,19433.8,15,2,2023-11-08,25,13.599999999998545
19424.85,19425.656079084263,19446.5,19421.95,19444.8,16,2,2023-11-08,25,24.549999999999272
19425.2,19425.612642981,19431.9,19416.55,19424.0,17,2,2023-11-08,25,15.350000000002183
19434.8,19426.48762936376,19438.1,19425.05,19425.1,18,2,2023-11-08,25,13.049999999999272
19433.35,19427.14118847197,19437.1,19428.9,19435.55,19,2,2023-11-08,25,8.19999999999709
19435.7,19427.956313379407,19436.7,19431.25,19433.7,20,2,2023-11-08,25,5.450000000000728
19435.5,19428.674759724225,19438.35,19433.65,19435.85,21,2,2023-11-08,25,4.69999999999709
19428.65,19428.67240165525,19436.05,19423.1,19435.65,22,2,2023-11-08,25,12.950000000000728
19426.55,19428.47026816428,19429.7,19419.2,19428.2,23,2,2023-11-08,25,10.5
19422.5,19427.90167119625,19429.25,19421.35,19427.05,24,2,2023-11-08,25,7.900000000001455
19408.2,19426.025321558514,19423.1,19401.65,19421.7,25,2,2023-11-08,25,21.44999999999709
19409.25,19424.427671886275,19412.85,19404.65,19407.95,26,2,2023-11-08,10,8.19999999999709
19422.55,19424.248845992344,19424.2,19409.35,19409.35,27,2,2023-11-08,10,14.850000000002183
19432.4,19425.025146374028,19432.4,19418.95,19422.7,28,2,2023-11-08,10,13.450000000000728
19427.0,19425.213227671746,19435.7,19426.5,19432.15,29,2,2023-11-08,10,9.200000000000728
